planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
30,42,60.0,0,0.0,0.0,1260,1.148728125,0,0.9587152694761871,0.7708333333333334,0.6691150812887238,0.3333333333333333,1200.0,114,0.9186482208325571,1.8244904503002566,-4.36446872665254,coarse_3deg_600s
35,34,52.0,1,0.0,0.0,1190,1.1616677083333333,0,0.9588651802066498,0.7638888888888888,0.7244658609017077,0.4166666666666667,1200.0,134,0.9329221885146002,2.193584195207796,-4.36446872665254,coarse_3deg_600s
28,43,55.0,14,0.0,0.0,1204,1.1534547916666666,0,0.9617429953603123,0.7638888888888888,0.7083848972437808,0.3055555555555556,1800.0,25,0.9458572271638868,2.130786574461034,-4.36446872665254,coarse_3deg_600s
30,41,60.0,1,0.0,0.0,1230,1.142778125,0,0.9548807891164365,0.7638888888888888,0.6433185597069968,0.2986111111111111,1800.0,81,0.9284276152391476,1.781033744919882,-4.36446872665254,coarse_3deg_600s
28,44,55.0,27,0.0,0.0,1232,1.1549977083333332,0,0.95272013134033,0.7638888888888888,0.7094253165793363,0.375,1200.0,7,0.9340393212556041,2.169808405823129,-4.36446872665254,coarse_3deg_600s
28,44,58.0,14,0.0,0.0,1232,1.1517425,0,0.9582935586012348,0.7638888888888888,0.6703681514829826,0.3472222222222222,1200.0,44,0.9437022554170468,1.9055253843415276,-4.36446872665254,coarse_3deg_600s
28,44,58.0,7,0.0,0.0,1232,1.1483570833333332,0,0.9560118511773309,0.7638888888888888,0.6577719057796529,0.3194444444444444,1200.0,43,0.9400589521132141,1.9051121318124027,-4.36446872665254,coarse_3deg_600s
35,36,52.0,34,0.0,0.0,1260,1.173728125,0,0.9632576816921845,0.7638888888888888,0.775322478815117,0.4791666666666667,1200.0,23,0.9327892289726747,2.3232607900714073,-4.36446872665254,coarse_3deg_600s
28,45,58.0,21,0.0,0.0,1260,1.1597958333333334,0,0.9597812528264689,0.7638888888888888,0.689574326716115,0.3402777777777778,1200.0,116,0.9426393016290044,1.948662213746502,-4.36446872665254,coarse_3deg_600s
30,42,60.0,15,0.0,0.0,1260,1.1485979166666667,0,0.9568142632782828,0.7638888888888888,0.6620073918347585,0.3263888888888889,1200.0,71,0.9339252658397648,1.8240113258501327,-4.36446872665254,coarse_3deg_600s
28,41,58.0,27,0.0,0.0,1148,1.13461375,0,0.9434837176890335,0.75,0.6102577432827372,0.2361111111111111,1800.0,125,0.9223275134077394,1.776651158659684,-4.36446872665254,coarse_3deg_600s
38,31,55.0,9,0.0,0.0,1178,1.1378293750000001,0,0.9456283000162945,0.75,0.6298981763485014,0.3125,3600.0,97,0.9229592709340966,2.079424725259969,-4.36446872665254,coarse_3deg_600s
28,45,55.0,14,0.0,0.0,1260,1.1625302083333333,0,0.962933995000285,0.7430555555555556,0.7334469044895379,0.3888888888888889,1800.0,100,0.9391780390979159,2.219323748091161,-4.36446872665254,coarse_3deg_600s
28,45,58.0,7,0.0,0.0,1260,1.1544572916666667,0,0.9536842935661297,0.7430555555555556,0.6805345257582478,0.3402777777777778,1200.0,42,0.934561635443661,1.9481172606636576,-4.36446872665254,coarse_3deg_600s
40,32,52.0,10,0.0,0.0,1280,1.2261322916666668,0,0.9637287812803594,0.7430555555555556,0.7231230915588865,0.4444444444444444,1800.0,57,0.9406585748703267,2.3584014324998144,-4.36446872665254,coarse_3deg_600s
37,30,52.0,9,0.0,0.0,1110,1.1366864583333334,0,0.9363696526652266,0.7361111111111112,0.6305595782828335,0.2916666666666667,4200.0,48,0.9222371964269952,2.0464163864492795,-4.36446872665254,coarse_3deg_600s
